name,age,vintage,vol,ml,price
"Hakushu, Original BottlingThe Cask of Hakushu b.2008One of 246 Bottles (Cask 3b40576)",15,1993,59.00%,700,1165 €February 2019
"Hakushu, Original Bottling",25,,43.00%,700,3008 €June 2019
"Hakushu, Original BottlingDistillery Exclusive",,,43.00%,300,64 €March 2019
"Hakushu, Original Bottling",18,,43.50%,700,421 €April 2019
"Hakushu, Original BottlingPure Malt (Kioke Shiame Black Label)",,1981,43.00%,750,299 €February 2018
"Hakushu, Original BottlingPure Malt (Kioke Shikomi)",,1981,43.00%,750,242 €April 2019
"Hakushu, Original BottlingPure Malt (Limited Edition)",,,43.00%,700,561 €March 2018
"Hakushu, Original BottlingFurudaru Shiage (Pure Malt)",,1991,43.00%,750,265 €February 2019
"Hakushu, Original Bottling (US Import)",12,,43.00%,750,123 €June 2019
"Hakushu, Scotch Malt Whisky Society120.8 b.2013One of 250 Bottles",13,2000,63.10%,700,900 €January 2019
"Hakushu, Scotch Malt Whisky Society120.7 b.2013One of 517 Bottles",14,1999,55.50%,700,924 €February 2019
"Hakushu, Scotch Malt Whisky Society120.4One of 520 Bottles",18,,59.30%,700,750 €February 2018
"Hakushu, Scotch Malt Whisky Society120.6",16,,57.10%,700,255 €November 2015
"Hakushu, Scotch Malt Whisky Society120.5One of 104 Bottles",17,,59.70%,700,167 €August 2013
"Hakushu, Scotch Malt Whisky Society120.1 b.2002One of 373 Bottles",21,1981,60.70%,700,3150 €February 2019
"Hanyu, Daily DramSingle Cask b.2010(Cask 377)",19,1991,56.00%,700,805 €December 2018
"Hanyu, Original BottlingSingle Cask b.2014(Cask 957)",14,2000,59.90%,700,1517 €May 2019
"Hanyu, Original BottlingSingle Cask b.2009One of 361 Bottles (Cask 370)",18,1991,57.30%,700,1260 €February 2019
"Hanyu, Original BottlingThe Game b.2012One of 309 Bottles (Cask 360)",12,2000,57.50%,700,1534 €August 2017
"Hanyu, Original BottlingAnniversary Bottling b.2009(Cask 369)",18,1991,57.30%,700,1260 €April 2019
"Hanyu, Original BottlingThe GameOne of 309 Bottles (Cask 917)",,2000,59.40%,700,1853 €October 2017
"Hanyu, Original BottlingGhost Series b.2014One of 120 Bottles (Cask 1702)",14,2000,59.90%,700,4101 €March 2019
"Hanyu, Original BottlingSingle Cask b.2009One of 626 Bottles (Cask 9305)",19,1990,53.40%,700,1482 €December 2018
"Hanyu, Original BottlingIchiro´s Malt Cask b.2016(Cask 359)",16,2000,56.60%,700,1643 €May 2019
"Hanyu, Original BottlingIsetan Cognac Cask(Cask 531)",,2000,58.50%,700,1358 €June 2019
"Hanyu, Original BottlingChibidaru b.2013One of 164 Bottles (Cask 348)",13,2000,58.80%,700,1473 €August 2018
