name,age,vintage,vol,ml,price
"Glen Scotia, Wemyss MaltsMerchant´s Mahogany Chest b.2013One of 807 Bottles",22,1991,46.00%,700,126 €April 2019
"Glen Scotia, Wemyss MaltsLeather Bound Ledger b.2015One of 431 Bottles",24,1991,46.00%,700,102 €June 2019
"Glen Scotia, Wemyss MaltsFlotsam and Jetsam b.2014One of 294 Bottles",23,1991,46.00%,700,93 €December 2018
"Glen Scotia, Wemyss MaltsStrawberry Ganache Strong Box b.2012One of 833 Bottles",21,1991,46.00%,700,109 €March 2019
"Glen Scotia, Whisky TalesThe Zentaur b.2010One of 140 Bottles",18,1992,59.50%,700,128 €March 2019
"Kilkerran, CadenheadWarehouse Tasting b.2018",12,2006,53.20%,700,93 €June 2019
"Kilkerran, CadenheadWarehouse Tasting b.2017",11,2006,57.70%,700,107 €February 2019
"Kilkerran, CadenheadWarehouse Tasting b.2017",13,2004,54.00%,700,166 €April 2019
"Kilkerran, CadenheadSherry Cask b.2018One of 564 Bottles",11,2007,58.10%,700,136 €June 2019
"Kilkerran, Original Bottling b.2008",,,62.00%,700,128 €December 2016
"Kilkerran, Original BottlingThe Tasting Room b.2017",,,49.10%,700,85 €November 2017
"Kilkerran, Original BottlingInaugural ReleaseOne of 60 Bottles",12,,46.00%,200,198 €June 2019
"Kilkerran, Original BottlingThe Tasting Room b.2008",,,61.50%,700,141 €August 2016
"Kilkerran, Original BottlingSingle Marsala Cask b.2015One of 264 Bottles",11,2004,57.40%,700,160 €September 2018
"Kilkerran, Original Bottling b.2008",,,62.00%,700,128 €December 2016
"Kilkerran, Original BottlingCask Strength",8,,56.20%,700,51 €April 2019
"Kilkerran, Original BottlingThe Tasting Room b.2016",12,,59.80%,700,115 €August 2017
"Kilkerran, Original BottlingChristmas 2008 b.2008One of 60 Bottles",,,46.00%,700,556 €May 2019
"Kilkerran, Original BottlingThe Tasting Room b.2017",,,49.10%,700,85 €November 2017
"Kilkerran, Original BottlingThe Tasting Room",,,48.30%,700,165 €November 2017
"Kilkerran, Original Bottling b.2018",12,2006,60.40%,700,120 €June 2019
"Kilkerran, Original BottlingCalvados Single Cask b.2018One of 288 Bottles",12,2006,57.30%,700,137 €January 2019
"Glengyle, Original BottlingThe Tasting Room b.2018",,,58.60%,700,49 €February 2019
"Kilkerran, Original BottlingOpen Day 2017 b.2017One of 192 Bottles",11,,60.30%,700,127 €June 2019
"Kilkerran, Original BottlingTasting Room",,,62.50%,700,96 €June 2014
"Kilkerran, Original BottlingThe Tasting Room",,,62.00%,700,80 €June 2019
"Glengyle, Original Bottling",8,,43.00%,750,25 €July 2017
"Kilkerran, Original BottlingSingle Cask b.2015One of 192 Bottles",11,2004,57.40%,700,203 €November 2016
"Kilkerran, Original BottlingThe Tasting Room b.2017",12,,55.50%,700,71 €March 2019
"Kilkerran, Original BottlingThe Tasting Room b.2008",12,,58.60%,700,102 €April 2019
"Kilkerran, Original BottlingSingle Cask b.2015One of 282 Bottles",9,2006,57.30%,700,100 €March 2019
"Glengyle, Original BottlingThe Tasting Room b.2018",,,55.50%,700,68 €August 2018
"Kilkerran, Original BottlingThe Tasting Room b.2017",12,,48.40%,700,69 €March 2018
"Kilkerran, Original Bottling",,,46.00%,700,56 €March 2019
"Kilkerran, Original BottlingWarehouse Tasting 2017 b.2017",11,2006,57.70%,700,124 €July 2018
"Kilkerran, Original BottlingCalvados Single Cask b.2015One of 288 Bottles",9,2006,57.40%,700,86 €June 2019
"Kilkerran, Original BottlingOpen Day 2015",9,,58.30%,350,86 €March 2019
"Kilkerran, Original BottlingCask Strength",8,,55.70%,700,47 €June 2019
"Kilkerran, Original BottlingSingle Cask b.2015One of 336 Bottles",11,2004,55.50%,700,151 €April 2018
"Kilkerran, Original Bottling",12,,46.00%,700,68 €June 2019
"Kilkerran, Original BottlingSingle Cask b.2015One of 216 Bottles",8,2007,61.00%,700,110 €February 2019
"Kilkerran, Original BottlingWork in Progress (1st Edition) b.2009One of 12000 Bottles",5,2004,46.00%,700,71 €June 2019
"Kilkerran, Original BottlingWork in Progress (2nd Edition) b.2011One of 15000 Bottles",6,2005,46.00%,700,62 €June 2019
